Source,Material,Total_waste,Latitude,Longitude
Construction and Demolition,Mixed Hardcore Fines,15375,54.888702,-1.5847989
Municipal Waste,Container Glass,15368,55.826371,-3.9255818
Construction and Demolition,Soils,15357,52.57849,-1.1844147
Construction and Demolition,Mixed Hardcore Fines,15350,54.582411,-1.2846001
Construction and Demolition,Mixed Hardcore,15340,52.308491,-0.22662795
Construction and Demolition,Mixed Hardcore,15313,52.663845,-2.5020552
Combustion,Bottom Ash - poultry litter,15285,52.452272,0.71737278
Construction and Demolition,Mixed Hardcore,15275,52.246148,0.31197152
Construction and Demolition,Soils,15268,51.515124,-0.60494311
Construction and Demolition,Mixed Hardcore Fines,15261,52.8866,-2.8617841
Construction and Demolition,Soils,15260,54.980147,-1.5954968
Construction and Demolition,Mixed Hardcore,15257,51.323028,0.42866706
Construction and Demolition,Soils,15237,52.704073,-2.434084
Construction and Demolition,Soils,15169,51.763603,-0.44640289
Construction and Demolition,Mixed Hardcore Fines,15146,57.22258,-2.1538091
Construction and Demolition,Mixed Hardcore,15084,51.580828,0.80005028
Construction and Demolition,Mixed Hardcore,15078,51.193279,0.29041578
Construction and Demolition,Mixed Hardcore,15057,52.032774,1.1715804
Construction and Demolition,Mixed Hardcore,15057,54.971961,-1.4632961
Construction and Demolition,Mixed Hardcore,15045,51.629135,-3.2328535
Construction and Demolition,Mixed Hardcore Fines,15039,52.305007,-0.23410106
Other,Other Soils,15033,54.957779,-1.7485544
Construction and Demolition,Soils,15022,50.756399,-1.9252653
Manufacturing,Mill scales,15013,53.419919,-1.3687751
Construction and Demolition,Mixed Hardcore,14993,52.141868,1.0938467
Construction and Demolition,Mixed Hardcore,14977,52.462519,-1.4793692
Construction and Demolition,Mixed Hardcore,14976,52.524323,-1.9022816
Manufacturing,Concrete sludge,14959,52.560315,-1.2333131
Construction and Demolition,Mixed Hardcore Fines,14955,53.034081,-1.188672
Construction and Demolition,Mixed Hardcore,14952,52.424153,-0.7078599
Construction and Demolition,Soils,14950,53.53969,-1.0103815
Construction and Demolition,Soils,14949,51.564581,-0.50151364
Construction and Demolition,Mixed Hardcore,14944,51.611092,-3.7683954
Construction and Demolition,Mixed Hardcore,14923,52.944738,-1.1305339
Construction and Demolition,Mixed Hardcore,14913,51.589088,-0.59787192
Construction and Demolition,Mixed Hardcore,14908,53.38686,-2.3439951
Construction and Demolition,Mixed Hardcore,14906,54.675402,-1.20304
Construction and Demolition,Mixed Hardcore,14881,51.59648,-0.66496684
Construction and Demolition,Mixed Hardcore Fines,14867,51.391625,-0.1656866
Construction and Demolition,Mixed Hardcore,14856,53.781825,-2.6447777
Construction and Demolition,Soils,14823,53.515744,-2.1427004
Construction and Demolition,Soils,14822,51.549094,-3.332756
Construction and Demolition,Mixed Hardcore,14820,51.570804,-0.22790656
Construction and Demolition,Mixed Hardcore,14811,52.494698,-1.4661456
Combustion,Fly Ash - Coal,14797,53.410405,-1.237253
Construction and Demolition,Mixed Hardcore Fines,14792,51.575943,-0.47815099
Construction and Demolition,Mixed Hardcore,14785,50.577576,-3.6185316
Construction and Demolition,Mixed Hardcore,14784,53.792384,-2.2505658
Construction and Demolition,Mixed Hardcore,14784,51.743012,0.025911625
Construction and Demolition,Soils,14763,53.609702,-0.18662684
Construction and Demolition,Soils,14735,50.775005,-2.0594144
Construction and Demolition,Mixed Hardcore,14719,52.151114,-0.33579198
Other,Other Soils,14708,53.731961,-1.5953953
Construction and Demolition,Soils,14707,53.41537,-2.6046599
Construction and Demolition,Soils,14701,52.739984,1.2411237
Construction and Demolition,Mixed Hardcore,14700,49.757201,-7.5699385
Construction and Demolition,Mixed Hardcore,14700,51.913687,-0.47969978
Construction and Demolition,Mixed Hardcore Fines,14699,53.071189,-1.3530038
Construction and Demolition,Soils,14646,53.055386,-2.9379289
Construction and Demolition,Mixed Hardcore,14643,52.470355,-1.889579
Construction and Demolition,Mixed Hardcore,14630,50.778382,-3.0291143
Construction and Demolition,Mixed Hardcore Fines,14615,54.972983,-1.7156537
Construction and Demolition,Mixed Hardcore,14613,53.783204,-2.6457549
Municipal Waste,Container Glass,14607,50.822709,-1.0544372
Municipal Waste,Container Glass,14607,50.821898,-1.0542122
Construction and Demolition,Soils,14602,53.613549,-2.6188258
Construction and Demolition,Soils,14595,51.070337,-1.2907093
Construction and Demolition,Mixed Hardcore Fines,14583,53.529325,-2.3891691
Construction and Demolition,Soils,14544,51.696456,-0.040185738
Construction and Demolition,Soils,14544,55.79466,-3.5251932
Construction and Demolition,Mixed Hardcore,14537,51.789407,-1.5478989
Construction and Demolition,Soils,14531,53.755369,-1.0858872
Construction and Demolition,Mixed Hardcore,14528,53.700182,-1.1296314
Construction and Demolition,Mixed Hardcore Fines,14524,51.443844,-2.5708593
Construction and Demolition,Mixed Hardcore,14519,53.050675,-0.80835654
Construction and Demolition,Mixed Hardcore,14514,51.325986,-0.86977741
Construction and Demolition,Mixed Hardcore,14469,51.644341,-0.32959637
Construction and Demolition,Soils,14464,52.375895,0.50642922
Construction and Demolition,Soils,14451,52.253865,0.039703794
Construction and Demolition,Soils,14440,53.436175,-2.4189642
Construction and Demolition,Mixed Hardcore,14410,54.694501,-3.5115793
Construction and Demolition,Mixed Hardcore,14386,53.42753,-2.7019335
Construction and Demolition,Mixed Hardcore,14381,53.560535,-2.8005437
Construction and Demolition,Soils,14379,52.61679,-1.7944034
Construction and Demolition,Soils,14378,51.42048,-2.4835614
Construction and Demolition,Mixed Hardcore Fines,14374,50.898871,-2.9458638
Construction and Demolition,Mixed Hardcore Fines,14356,51.337405,-0.11227663
Construction and Demolition,Soils,14336,53.463947,-2.6453866
Construction and Demolition,Soils,14331,50.880774,-1.274173
Construction and Demolition,Mixed Hardcore,14315,54.200595,-0.42563259
Construction and Demolition,Mixed Hardcore,14313,52.594533,-1.2172151
Construction and Demolition,Soils,14308,53.280272,-1.2924094
Construction and Demolition,Plasterboard / Gypsum,14301,52.157326,-2.1626901
Construction and Demolition,Mixed Hardcore,14280,52.81181,-1.6277526
Construction and Demolition,Mixed Hardcore,14280,51.496326,0.2259475
Construction and Demolition,Soils,14257,53.64854,-1.2471994
Combustion,Bottom ash - straw,14201,53.000096,-0.39058096
Construction and Demolition,Mixed Hardcore Fines,14187,51.133701,-0.16161823
Construction and Demolition,Soils,14180,52.499319,-1.4885687
Construction and Demolition,Mixed Hardcore Fines,14168,52.660231,-1.1306147
Construction and Demolition,Mixed Hardcore,14156,53.598813,-0.62577976
Construction and Demolition,Soils,14139,52.645849,-2.4260726
Other,Other Soils,14122,50.771665,-1.9510652
Construction and Demolition,Mixed Hardcore,14121,54.657561,-2.828959
Construction and Demolition,Mixed Hardcore,14118,52.292521,0.48244797
Construction and Demolition,Soils,14094,52.621701,1.72347
Construction and Demolition,Mixed Hardcore,14070,52.578842,-2.1028439
Construction and Demolition,Mixed Hardcore Fines,14050,50.823271,-0.33332643
Construction and Demolition,Mixed Hardcore,14049,51.264038,-0.73351465
Construction and Demolition,Mixed Hardcore,14042,51.570804,-0.22790656
Construction and Demolition,Mixed Hardcore,14041,51.514686,-2.0424633
Construction and Demolition,Mixed Hardcore,14024,52.435432,1.2149303
Construction and Demolition,Mixed Hardcore Fines,14022,50.712958,-3.4077343
Construction and Demolition,Soils,14000,55.91535,-3.0884243
Construction and Demolition,Soils,14000,53.239213,-3.0319677
Construction and Demolition,Mixed Hardcore,13990,54.035155,-1.1005884
Construction and Demolition,Mixed Hardcore,13957,50.421979,-4.232699
Construction and Demolition,Soils,13957,55.762163,-4.6485161
Other,Other Soils,13946,53.013641,-2.254687
Construction and Demolition,Soils,13940,52.763588,-0.36233617
Construction and Demolition,Mixed Hardcore Fines,13939,52.632153,-1.9093707
Construction and Demolition,Soils,13925,53.409571,-2.372234
Construction and Demolition,Mixed Hardcore Fines,13917,53.43728,-1.18258
Construction and Demolition,Mixed Hardcore Fines,13915,51.515732,0.18483499
Combustion,Bottom ash - meat and bone meal,13907,53.203763,-0.84079586
Construction and Demolition,Mixed Hardcore Fines,13905,51.526488,-0.23912785
Construction and Demolition,Mixed Hardcore,13902,51.974023,-0.44206191
Construction and Demolition,Soils,13887,57.670236,-3.310271
Construction and Demolition,Soils,13834,51.788339,-2.3057267
Construction and Demolition,Soils,13833,52.986057,-1.1817216
Construction and Demolition,Soils,13804,51.394094,-0.1654441
Construction and Demolition,Mixed Hardcore,13787,52.33221,-0.52050036
Construction and Demolition,Soils,13783,53.780095,-1.5117864
Construction and Demolition,Mixed Hardcore,13782,52.918429,-1.4504071
Construction and Demolition,Mixed Hardcore Fines,13778,51.485053,-0.045720358
Construction and Demolition,Mixed Hardcore,13770,53.503443,-1.3294821
Construction and Demolition,Mixed Hardcore,13761,52.94772,-1.2928901
Construction and Demolition,Mixed Hardcore Fines,13728,51.557731,-0.27325046
Construction and Demolition,Soils,13721,52.632897,1.1825264
Construction and Demolition,Soils,13717,52.623005,-2.7916267
Construction and Demolition,Mixed Hardcore,13713,51.820941,-0.83243787
Construction and Demolition,Mixed Hardcore,13703,51.458847,0.20050012
Construction and Demolition,Soils,13678,52.643812,-1.1120372
Construction and Demolition,Soils,13667,51.555384,-0.26963206
Construction and Demolition,Soils,13648,53.478205,-2.269246
Construction and Demolition,Mixed Hardcore,13617,52.733853,0.49527943
Other,Other Soils,13612,51.519778,-3.3557394
Construction and Demolition,Mixed Hardcore Fines,13600,51.862627,-2.2240085
Construction and Demolition,Mixed Hardcore,13600,54.047374,-2.8216352
Construction and Demolition,Mixed Hardcore,13598,52.470758,-2.0770501
Construction and Demolition,Soils,13580,53.033742,-1.1877985
Construction and Demolition,Mixed Hardcore,13555,53.808157,-1.2680184
Construction and Demolition,Mixed Hardcore,13543,51.714404,-2.9925013
Construction and Demolition,Mixed Hardcore Fines,13536,52.290753,0.46598327
Construction and Demolition,Mixed Hardcore Fines,13507,51.620308,-0.14878002
Other,Other Soils,13493,53.239213,-3.0319677
Construction and Demolition,Mixed Hardcore,13480,53.592219,-1.3068509
Construction and Demolition,Mixed Hardcore Fines,13474,52.232482,0.15312623
Other,Other Soils,13473,51.866158,0.82791294
Construction and Demolition,Mixed Hardcore Fines,13470,51.480999,0.21039517
Construction and Demolition,Mixed Hardcore,13427,51.478933,0.21408297
Manufacturing,Cement Kiln Dust,13416,53.776566,-2.368693
Construction and Demolition,Mixed Hardcore,13395,50.799959,0.050571314
Construction and Demolition,Soils,13392,52.42552,-1.6643659
Construction and Demolition,Mixed Hardcore,13390,54.562276,-0.90442154
Construction and Demolition,Mixed Hardcore Fines,13389,52.096354,-0.71359982
Construction and Demolition,Mixed Hardcore Fines,13386,51.33106,0.88551453
Construction and Demolition,Mixed Hardcore Fines,13385,53.282834,-3.5412376
Construction and Demolition,Mixed Hardcore Fines,13379,53.649888,-2.6609017
Construction and Demolition,Mixed Hardcore Fines,13369,51.424204,-1.0544485
Construction and Demolition,Mixed Hardcore,13348,52.411137,0.50973625
Construction and Demolition,Soils,13342,51.593111,-0.59216111
Construction and Demolition,Soils,13341,52.106227,-0.96892816
Construction and Demolition,Mixed Hardcore,13327,52.589887,1.7168851
Construction and Demolition,Soils,13322,54.578634,-1.2049289
Combustion,Bottom ash - wood (recycled),13289,53.239213,-3.0319677
Construction and Demolition,Mixed Hardcore Fines,13287,53.55134,-2.5958204
Construction and Demolition,Soils,13281,56.0221,-3.7958133
Construction and Demolition,Mixed Hardcore,13251,53.600837,-2.2982837
Other,Other Soils,13246,54.590292,-1.1626087
Construction and Demolition,Soils,13243,53.80918,-1.760847
Construction and Demolition,Mixed Hardcore,13237,51.517415,-2.5740705
Other,Other Soils,13226,55.990334,-3.6784432
Construction and Demolition,Mixed Hardcore,13207,52.830011,1.3845846
Municipal Waste,Municipal Waste Incinerator Bottom Ash,13205,50.823271,-0.33332643
Construction and Demolition,Mixed Hardcore,13192,53.577091,-0.056307987
Construction and Demolition,Soils,13192,53.594176,-1.2715092
Construction and Demolition,Mixed Hardcore Fines,13182,51.638938,-2.2191608
Construction and Demolition,Soils,13178,55.062183,-3.517438
Construction and Demolition,Mixed Hardcore,13169,52.62982,-1.2012349
Construction and Demolition,Mixed Hardcore,13168,50.426392,-4.4384338
Construction and Demolition,Mixed Hardcore,13164,53.387899,-3.0134129
Construction and Demolition,Soils,13164,51.458847,0.20050012
Construction and Demolition,Soils,13160,53.090306,-1.2715476
Construction and Demolition,Mixed Hardcore,13156,52.086927,-0.49518742
Construction and Demolition,Soils,13126,52.319229,-0.063039144
Other,Other Soils,13100,52.461484,-1.8310385
Construction and Demolition,Soils,13065,51.638938,-2.2191608
Construction and Demolition,Soils,13063,52.435562,0.12679294
Construction and Demolition,Mixed Hardcore,13059,53.575868,-2.2636446
Construction and Demolition,Mixed Hardcore,13058,53.512181,-2.6451846
Combustion,Bottom ash - sewage sludge,13048,51.525635,0.079910083
Construction and Demolition,Mixed Hardcore,13037,52.697903,-1.1057758
Construction and Demolition,Mixed Hardcore Fines,13037,53.538576,-2.6309043
Construction and Demolition,Mixed Hardcore,13020,51.743012,0.025911625
Construction and Demolition,Mixed Hardcore,13013,51.818087,1.1718256
Construction and Demolition,Mixed Hardcore Fines,13002,50.893513,0.31491027
Construction and Demolition,Mixed Hardcore Fines,13002,51.096168,-0.32841811
Construction and Demolition,Soils,12999,53.939166,-0.56669236
Construction and Demolition,Mixed Hardcore Fines,12969,51.385577,-0.22785641
Construction and Demolition,Mixed Hardcore,12957,52.936022,-4.3795439
Manufacturing,Foundry Sand,12926,52.50995,-2.1546645
Construction and Demolition,Mixed Hardcore,12907,51.093741,-1.7686348
Construction and Demolition,Mixed Hardcore Fines,12905,51.844851,-0.96219307
Construction and Demolition,Mixed Hardcore Fines,12899,51.526825,-2.6554884
Construction and Demolition,Mixed Hardcore,12888,53.221184,-4.2836797
Construction and Demolition,Soils,12871,52.282578,-0.90953137
Construction and Demolition,Soils,12868,53.840978,-2.9723782
Construction and Demolition,Mixed Hardcore,12848,52.341901,-2.2261465
Construction and Demolition,Mixed Hardcore,12835,51.160169,0.29247957
Construction and Demolition,Mixed Hardcore,12826,52.693756,1.078028
Construction and Demolition,Mixed Hardcore Fines,12792,51.378748,-0.38506317
Construction and Demolition,Mixed Hardcore,12789,56.162618,-3.200573
Other,Other Soils,12778,55.743536,-3.8455862
Construction and Demolition,Mixed Hardcore,12775,53.20487,-0.85027332
Construction and Demolition,Soils,12760,51.613219,-3.9247009
Other,Other Soils,12747,52.316128,0.6995129
Other,Other Soils,12741,50.710988,-3.4107488
Construction and Demolition,Mixed Hardcore,12730,50.691924,-1.2481949
Construction and Demolition,Mixed Hardcore,12728,53.609382,-0.6612448
Construction and Demolition,Mixed Hardcore,12701,53.429002,-2.1211887
Construction and Demolition,Mixed Hardcore,12663,54.035155,-1.1005884
Construction and Demolition,Mixed Hardcore,12660,51.518596,-0.26652966
Construction and Demolition,Mixed Hardcore,12646,50.425494,-3.5930245
Municipal Waste,Container Glass,12632,53.717115,-0.53389693
Construction and Demolition,Mixed Hardcore,12611,53.555763,-2.526777
Construction and Demolition,Mixed Hardcore,12600,51.439312,0.75251315
Construction and Demolition,Mixed Hardcore,12596,53.479047,-2.3076892
Construction and Demolition,Mixed Hardcore Fines,12566,55.908874,-3.4921115
Construction and Demolition,Mixed Hardcore,12550,51.443785,0.22615431
Combustion,Bottom ash - straw,12549,52.397277,0.13568167
Construction and Demolition,Mixed Hardcore,12548,53.438668,-2.5795199
Construction and Demolition,Mixed Hardcore,12539,51.066394,0.10953984
Construction and Demolition,Soils,12532,53.167851,-4.1927961
Construction and Demolition,Mixed Hardcore,12524,51.367897,1.4036651
Construction and Demolition,Mixed Hardcore,12503,52.689584,1.2283288
Construction and Demolition,Mixed Hardcore,12495,52.502228,-1.978684
Construction and Demolition,Soils,12493,53.406576,-3.0387226
Construction and Demolition,Mixed Hardcore,12475,51.416213,-2.6133385
Construction and Demolition,Mixed Hardcore,12461,53.395214,-2.0911818
Construction and Demolition,Soils,12457,57.085201,-2.1320382
Other,Other Soils,12419,51.622561,-3.9088148
Construction and Demolition,Mixed Hardcore,12418,53.466326,-2.329002
Construction and Demolition,Mixed Hardcore,12401,51.371302,-0.12200315
Construction and Demolition,Mixed Hardcore Fines,12397,53.436175,-2.4189642
Construction and Demolition,Mixed Hardcore,12395,53.91347,-1.0531473
Construction and Demolition,Mixed Hardcore,12378,54.005926,-1.4319454
Construction and Demolition,Soils,12364,53.483251,-2.0864585
Construction and Demolition,Mixed Hardcore,12346,50.774382,-1.5802139
Construction and Demolition,Mixed Hardcore,12343,52.61679,-1.7944034
Construction and Demolition,Soils,12327,53.753082,-2.8248273
Municipal Waste,Container Glass,12326,52.025199,-0.39622214
Construction and Demolition,Soils,12315,56.64097,-2.6322983
Construction and Demolition,Mixed Hardcore,12310,53.758802,-0.33214935
Construction and Demolition,Soils,12310,51.047142,-4.1341306
Construction and Demolition,Mixed Hardcore Fines,12306,51.407975,-0.67003195
Construction and Demolition,Mixed Hardcore,12300,53.404686,-2.5985969
Construction and Demolition,Soils,12294,52.954022,0.000639849
Other,Other Soils,12276,52.355023,-0.55860651
Construction and Demolition,Soils,12276,51.913413,-0.77456124
Construction and Demolition,Mixed Hardcore,12275,51.51863,0.27878317
Construction and Demolition,Mixed Hardcore Fines,12245,53.586683,-0.96357161
Construction and Demolition,Mixed Hardcore Fines,12242,49.757201,-7.5699385
Combustion,Bottom ash - wood (virgin),12235,54.666104,-3.5454428
Construction and Demolition,Mixed Hardcore,12215,52.563643,-0.056640662
Construction and Demolition,Mixed Hardcore,12206,54.907261,-1.3562754
Construction and Demolition,Mixed Hardcore,12200,51.541076,-0.026304334
Construction and Demolition,Mixed Hardcore,12192,54.536234,-1.5418792
Other,Other Soils,12188,51.29861,0.20182222
Construction and Demolition,Mixed Hardcore,12180,51.431079,0.1435894
Other,Other Soils,12171,51.740047,-1.4066077
Construction and Demolition,Soils,12162,53.591643,-2.2634257
Construction and Demolition,Mixed Hardcore,12158,51.788339,-2.3057267
Construction and Demolition,Soils,12135,53.20487,-0.85027332
Construction and Demolition,Mixed Hardcore,12096,51.055757,1.0388639
Other,Other Soils,12090,55.170713,-4.9270262
Construction and Demolition,Mixed Hardcore Fines,12081,52.252126,-0.79831379
Construction and Demolition,Mixed Hardcore Fines,12081,52.853295,-1.1379011
Construction and Demolition,Mixed Hardcore,12072,53.898641,-3.0133014
Construction and Demolition,Soils,12065,51.515647,0.003786027
Construction and Demolition,Mixed Hardcore,12060,53.913776,-1.2097829
Construction and Demolition,Mixed Hardcore Fines,12054,51.621165,-0.77662712
Construction and Demolition,Mixed Hardcore Fines,12051,51.579619,0.7168441
Construction and Demolition,Soils,12001,51.170989,-1.6141864
Construction and Demolition,Mixed Hardcore,11995,51.069699,0.17894878
Construction and Demolition,Mixed Hardcore,11991,53.841106,-1.8921075
Construction and Demolition,Mixed Hardcore,11990,50.574312,-3.615242
Construction and Demolition,Soils,11990,51.481476,-0.93514941
Construction and Demolition,Mixed Hardcore,11980,50.845681,-0.82613766
Construction and Demolition,Mixed Hardcore Fines,11970,50.859764,-1.1722566
Construction and Demolition,Mixed Hardcore Fines,11943,51.727078,-0.84697607
Construction and Demolition,Soils,11939,50.244744,-5.1977934
Other,Other Soils,11930,53.458727,-1.3204271
Construction and Demolition,Soils,11928,52.310578,-0.90115726
Construction and Demolition,Soils,11923,50.739128,-1.6131518
Construction and Demolition,Mixed Hardcore,11901,53.606175,-1.7898925
Construction and Demolition,Soils,11867,52.293185,0.17280181
Municipal Waste,Container Glass,11864,51.631554,-1.8338025
Construction and Demolition,Mixed Hardcore,11862,52.058229,0.76854636
Construction and Demolition,Soils,11860,53.604063,-2.5108755
Construction and Demolition,Mixed Hardcore,11849,51.178799,-2.9900664
Construction and Demolition,Mixed Hardcore,11846,51.858466,-2.274388
Construction and Demolition,Mixed Hardcore,11831,52.381032,-1.2429736
Construction and Demolition,Soils,11816,51.500856,0.01992295
Construction and Demolition,Mixed Hardcore,11792,51.450498,0.30958654
Construction and Demolition,Mixed Hardcore Fines,11789,54.988938,-1.4887936
Construction and Demolition,Mixed Hardcore,11773,51.559629,-1.2844249
Construction and Demolition,Mixed Hardcore,11773,51.567013,-0.024849359
Construction and Demolition,Soils,11772,50.87744,-1.2187491
Construction and Demolition,Soils,11748,50.710792,-3.4120177
Construction and Demolition,Mixed Hardcore Fines,11731,53.759492,-0.33457952
Construction and Demolition,Mixed Hardcore,11721,51.524505,-3.6853354
Construction and Demolition,Mixed Hardcore,11714,52.691422,-2.1288376
Municipal Waste,Container Glass,11705,55.862171,-3.0898124
Construction and Demolition,Soils,11696,53.232378,-4.2822678
Construction and Demolition,Mixed Hardcore,11634,52.177262,-1.2669545
Construction and Demolition,Soils,11630,51.496115,0.39982211
Construction and Demolition,Mixed Hardcore,11630,51.391206,-0.16765816
Construction and Demolition,Mixed Hardcore Fines,11614,51.468366,0.27655102
Construction and Demolition,Soils,11610,51.468366,0.27655102
Construction and Demolition,Soils,11591,51.375159,-0.12700365
Construction and Demolition,Mixed Hardcore,11586,53.21393,-0.11457354
Construction and Demolition,Mixed Hardcore,11575,53.717114,-2.3167745
Construction and Demolition,Mixed Hardcore,11563,53.708442,-1.6969717
Manufacturing,Mineral Wool,11543,53.542563,-2.7997518
Construction and Demolition,Mixed Hardcore Fines,11542,52.248606,-0.79523022
Construction and Demolition,Mixed Hardcore Fines,11532,53.476467,-2.1613868
Construction and Demolition,Soils,11527,50.838722,0.23749925
Construction and Demolition,Mixed Hardcore,11523,52.140833,0.23066132
Construction and Demolition,Soils,11516,51.528381,-1.8422935
Construction and Demolition,Mixed Hardcore,11514,53.625513,-1.8769927
Construction and Demolition,Mixed Hardcore,11512,57.369074,-2.4466085
Construction and Demolition,Mixed Hardcore,11501,53.20487,-0.85027332
Construction and Demolition,Soils,11500,52.41589,-1.9187086
Other,Other Soils,11492,53.700182,-1.1296314
Construction and Demolition,Mixed Hardcore,11487,52.51245,-2.0201874
Construction and Demolition,Mixed Hardcore Fines,11481,52.643812,-1.1120372
Construction and Demolition,Mixed Hardcore Fines,11479,50.891716,-1.343685
Construction and Demolition,Mixed Hardcore,11452,54.028729,-2.8927897
Construction and Demolition,Soils,11441,52.086432,-0.49444511
Construction and Demolition,Mixed Hardcore,11439,54.038666,-0.36958911
Construction and Demolition,Soils,11419,55.975239,-3.155421
Construction and Demolition,Mixed Hardcore Fines,11419,51.181459,-0.12795462
Construction and Demolition,Soils,11408,50.378991,-3.9759928
Construction and Demolition,Mixed Hardcore,11375,51.720973,-0.26273871
Construction and Demolition,Mixed Hardcore,11373,52.503834,-2.0874648
Construction and Demolition,Mixed Hardcore Fines,11357,52.752774,-1.5154022
Construction and Demolition,Mixed Hardcore,11351,52.373397,-1.4153606
Construction and Demolition,Soils,11346,52.594533,-1.2172151
Construction and Demolition,Mixed Hardcore,11340,53.032968,-2.2505064
Construction and Demolition,Soils,11310,53.482285,-2.8567998
Construction and Demolition,Mixed Hardcore,11289,50.87744,-1.2187491
Construction and Demolition,Mixed Hardcore,11288,52.357652,1.5205112
Construction and Demolition,Mixed Hardcore Fines,11267,54.09457,-0.25695929
Construction and Demolition,Soils,11260,52.817181,-1.7173274
Construction and Demolition,Mixed Hardcore,11253,51.141755,-3.333497
Construction and Demolition,Soils,11247,50.752787,-1.9474983
Construction and Demolition,Mixed Hardcore,11246,52.805384,-1.6522388
Construction and Demolition,Mixed Hardcore Fines,11238,51.432344,0.291564
Construction and Demolition,Soils,11226,52.107163,1.0910478
Construction and Demolition,Mixed Hardcore Fines,11218,53.50226,-2.2950127
Construction and Demolition,Mixed Hardcore,11202,51.670531,-4.0967143
Construction and Demolition,Mixed Hardcore,11199,51.1134,-2.9759674
Construction and Demolition,Mixed Hardcore Fines,11192,54.155466,-3.1991135
Construction and Demolition,Soils,11190,51.244647,-0.84627006
Construction and Demolition,Soils,11189,51.788618,-0.20927655
Construction and Demolition,Mixed Hardcore,11185,52.878228,-2.7467728
Construction and Demolition,Mixed Hardcore,11184,51.763656,-3.8929086
Construction and Demolition,Mixed Hardcore Fines,11170,51.46095,-0.48632607
Construction and Demolition,Soils,11167,52.457056,-1.6903217
Construction and Demolition,Mixed Hardcore,11166,50.87042,-1.7938857
Construction and Demolition,Mixed Hardcore Fines,11165,52.070463,1.2505823
Construction and Demolition,Soils,11142,51.169727,-0.12931663
Construction and Demolition,Mixed Hardcore,11132,57.64947,-3.2925485
Construction and Demolition,Soils,11124,52.355023,-0.55860651
Construction and Demolition,Mixed Hardcore Fines,11107,51.576513,0.71310801
Municipal Waste,Container Glass,11102,51.444246,-2.5732385
Construction and Demolition,Plasterboard / Gypsum,11094,51.493656,0.032224451
Construction and Demolition,Mixed Hardcore,11073,51.169727,-0.12931663
Construction and Demolition,Soils,11066,54.608527,-1.2010953
Construction and Demolition,Mixed Hardcore Fines,11056,51.434369,-0.19187156
Construction and Demolition,Mixed Hardcore,11054,53.280037,-2.8714806
Construction and Demolition,Mixed Hardcore,11040,52.668781,-2.0842162
Construction and Demolition,Soils,11030,53.528033,-3.0408482
Construction and Demolition,Mixed Hardcore,11025,53.396066,-1.4815263
Construction and Demolition,Mixed Hardcore,11024,51.443523,-0.14291498
Construction and Demolition,Soils,11013,51.136077,-0.88551103
Other,Other Soils,11005,53.62241,-1.8245851
Construction and Demolition,Soils,10990,50.673494,-3.531195
Construction and Demolition,Mixed Hardcore,10959,55.600786,-4.5356689
Construction and Demolition,Mixed Hardcore Fines,10950,52.401636,-1.3819019
Other,Other Soils,10942,53.146675,-2.3946397
Construction and Demolition,Mixed Hardcore,10941,52.645849,-2.4260726
Construction and Demolition,Soils,10932,54.972983,-1.7156537
Construction and Demolition,Mixed Hardcore,10921,51.349165,-2.3900371
Construction and Demolition,Mixed Hardcore,10920,51.624489,-2.9644914
Construction and Demolition,Soils,10907,51.802099,-0.74296252
Construction and Demolition,Mixed Hardcore,10879,51.495097,-0.40257805
Construction and Demolition,Mixed Hardcore Fines,10870,51.451415,0.30640868
Construction and Demolition,Mixed Hardcore Fines,10860,55.975239,-3.155421
Construction and Demolition,Soils,10852,53.75751,-2.4599544
Construction and Demolition,Mixed Hardcore,10815,52.802813,1.3978591
Construction and Demolition,Mixed Hardcore Fines,10813,53.574128,-0.11605922
Construction and Demolition,Soils,10800,51.442015,0.15729725
Construction and Demolition,Mixed Hardcore,10795,52.187184,-0.00616996
Construction and Demolition,Mixed Hardcore,10793,55.892435,-4.260485
Construction and Demolition,Mixed Hardcore,10784,52.381633,-1.262753
Construction and Demolition,Mixed Hardcore Fines,10784,54.938067,-2.9940719
Construction and Demolition,Mixed Hardcore Fines,10776,53.482285,-2.8567998
Construction and Demolition,Soils,10770,51.131118,-2.5201467
Construction and Demolition,Mixed Hardcore Fines,10767,51.7612,-0.43469022
Construction and Demolition,Mixed Hardcore Fines,10745,51.278289,-0.73328058
Other,Other Soils,10738,51.020597,-1.4963735
Construction and Demolition,Mixed Hardcore Fines,10727,53.693032,-2.6309709
Other,Other Soils,10723,51.767457,-3.3209917
Construction and Demolition,Mixed Hardcore Fines,10678,51.518275,0.14357341
Construction and Demolition,Soils,10670,53.110109,-1.0406615
Construction and Demolition,Soils,10668,56.471183,-3.0149854
Construction and Demolition,Soils,10665,52.021064,-0.75392937
Construction and Demolition,Mixed Hardcore,10660,53.047955,-2.2222213
Construction and Demolition,Plasterboard / Gypsum,10659,53.585652,-0.36411336
Construction and Demolition,Mixed Hardcore Fines,10646,52.554417,-1.3439913
Construction and Demolition,Mixed Hardcore Fines,10645,51.462069,-0.98667356
Construction and Demolition,Soils,10615,53.800597,-2.7361185
Construction and Demolition,Soils,10609,50.947601,-0.22701071
Construction and Demolition,Mixed Hardcore,10605,52.76893,-1.6002094
