Source,Material,Total_waste,Latitude,Longitude
Construction and Demolition,Mixed Hardcore,212005,51.186346,-0.19920509
Construction and Demolition,Soils,212000,53.60613,-2.5194998
Construction and Demolition,Soils,211344,51.575943,-0.47815099
Construction and Demolition,Mixed Hardcore,210870,51.88022,-0.743313
Mine and Quarry Wastes,Igneous & Metamorphic Rock,210000,56.589103,-5.563379
Construction and Demolition,Soils,209425,51.858466,-2.274388
Construction and Demolition,Mixed Hardcore,207723,51.219339,-0.74535193
Construction and Demolition,Mixed Hardcore,206395,51.424854,-1.0272225
Construction and Demolition,Mixed Hardcore,205358,53.475304,-1.0491104
Construction and Demolition,Soils,203718,53.295637,-2.7591219
Construction and Demolition,Soils,200064,55.981816,-4.0507666
Construction and Demolition,Mixed Hardcore,199914,51.787417,-0.15949025
Construction and Demolition,Mixed Hardcore,199553,51.277133,0.469994
Construction and Demolition,Soils,199467,53.898641,-3.0133014
Construction and Demolition,Soils,199037,51.0436,-4.1311145
Construction and Demolition,Soils,197781,51.526825,-2.6554884
Construction and Demolition,Soils,197750,51.015689,-1.6910305
Municipal Waste,Municipal Waste Incinerator Bottom Ash,197118,53.424546,-1.5191626
Construction and Demolition,Soils,196602,51.09815,-0.45415769
Construction and Demolition,Mixed Hardcore,195251,52.557103,-1.9779793
Construction and Demolition,Mixed Hardcore,193838,55.146586,-1.5868655
Construction and Demolition,Mixed Hardcore,193412,53.532697,-2.4380362
Construction and Demolition,Soils,192422,52.669501,-2.0834486
Construction and Demolition,Soils,190785,50.771665,-1.9510652
Municipal Waste,Municipal Waste Incinerator Bottom Ash,190514,54.594681,-1.2566194
Construction and Demolition,Soils,189698,53.782891,-0.49575489
Construction and Demolition,Soils,189435,54.613634,-1.240635
Construction and Demolition,Soils,189108,52.693421,-1.3576683
Construction and Demolition,Soils,189076,54.734661,-1.494157
Construction and Demolition,Soils,188196,51.641466,-1.2577472
Construction and Demolition,Mixed Hardcore,188170,51.498112,-0.41270148
Construction and Demolition,Soils,187132,51.424854,-1.0272225
Construction and Demolition,Mixed Hardcore,185807,53.782427,-1.51053
Construction and Demolition,Soils,185216,51.49924,-3.0979421
Construction and Demolition,Mixed Hardcore,184489,53.078395,-2.430617
Construction and Demolition,Mixed Hardcore,182638,51.462774,-2.2948934
Construction and Demolition,Soils,181754,51.241674,-0.27350722
Construction and Demolition,Mixed Hardcore,180671,51.491931,0.023850059
Construction and Demolition,Mixed Hardcore,179086,52.470172,-1.4737733
Construction and Demolition,Soils,178337,52.861348,-1.2958392
Construction and Demolition,Mixed Hardcore,177667,53.53969,-1.0103815
Construction and Demolition,Mixed Hardcore,177498,55.910832,-3.0168362
Construction and Demolition,Mixed Hardcore,177042,51.543474,-3.009427
Construction and Demolition,Mixed Hardcore,175994,52.460194,-1.8338839
Construction and Demolition,Mixed Hardcore,174592,51.671235,-1.959304
Construction and Demolition,Soils,174232,52.440259,-1.0542141
Construction and Demolition,Soils,174096,53.789982,-0.5533689
Construction and Demolition,Mixed Hardcore,171770,51.837156,0.53153965
Construction and Demolition,Mixed Hardcore,171061,52.021064,-0.75392937
Municipal Waste,Municipal Waste Incinerator Bottom Ash,170634,52.94772,-1.2928901
Construction and Demolition,Mixed Hardcore,170472,51.534476,-0.016208193
Construction and Demolition,Mixed Hardcore,168630,52.565708,-1.9970061
Construction and Demolition,Soils,168540,51.489925,-0.45068159
Construction and Demolition,Soils,165298,51.4141,0.74494267
Construction and Demolition,Soils,164752,53.645977,-2.3014463
Construction and Demolition,Soils,164133,53.731961,-1.5953953
Construction and Demolition,Soils,163671,51.645545,-1.5311783
Construction and Demolition,Mixed Hardcore,163615,51.985106,1.0904533
Construction and Demolition,Soils,162970,51.852272,-1.3059571
Construction and Demolition,Mixed Hardcore,162819,53.480727,-2.318415
Construction and Demolition,Soils,162368,53.783467,-0.66672893
Construction and Demolition,Mixed Hardcore,162150,51.262437,-2.2027306
Construction and Demolition,Soils,161416,53.003087,-2.175796
Construction and Demolition,Soils,160967,53.48404,-2.4763086
Construction and Demolition,Soils,160717,51.519778,-3.3557394
Construction and Demolition,Mixed Hardcore,160030,51.494453,0.002121683
Construction and Demolition,Soils,158571,51.045521,-4.1318019
Municipal Waste,Municipal Waste Incinerator Bottom Ash,158255,51.470156,0.33865819
Construction and Demolition,Mixed Hardcore,156293,53.110121,-2.5947954
Construction and Demolition,Soils,156000,52.900179,-2.759757
Construction and Demolition,Mixed Hardcore,155980,51.359283,-1.1286458
Construction and Demolition,Soils,155592,52.424153,-0.7078599
Construction and Demolition,Soils,155265,51.479046,-0.53692138
Construction and Demolition,Soils,155186,51.91587,-1.0014125
Construction and Demolition,Mixed Hardcore,154125,53.781457,-1.608502
Construction and Demolition,Soils,153673,52.142165,1.0955629
Construction and Demolition,Mixed Hardcore,153357,53.185474,-3.0925135
Construction and Demolition,Soils,153072,53.648761,-1.3904467
Construction and Demolition,Mixed Hardcore,152884,51.552426,-0.24965138
Construction and Demolition,Mixed Hardcore,152332,51.773491,0.48876158
Construction and Demolition,Mixed Hardcore,152102,55.873727,-4.3442839
Manufacturing,Basic Oxygen Furnace Slag,150637,53.417336,-1.3785632
Construction and Demolition,Soils,150396,53.853796,-1.0496296
Manufacturing,Electric Arc Furnace Slag,149782,51.481387,-3.1397943
Construction and Demolition,Soils,147618,51.58659,0.14714863
Construction and Demolition,Mixed Hardcore,147435,51.438051,-2.6291257
Construction and Demolition,Soils,147378,51.708106,0.52691705
Construction and Demolition,Soils,146888,53.149601,-3.17341
Construction and Demolition,Soils,146887,55.598128,-4.6585767
Construction and Demolition,Soils,146711,52.514723,-2.1486397
Construction and Demolition,Soils,145495,53.363506,-2.7473446
Construction and Demolition,Mixed Hardcore,144482,51.431211,-0.19058641
Construction and Demolition,Mixed Hardcore,143911,50.686471,-3.5182112
Construction and Demolition,Soils,143862,52.440918,-1.7005119
Construction and Demolition,Soils,142794,55.908874,-3.4921115
Construction and Demolition,Mixed Hardcore,142748,53.495672,-2.2877315
Municipal Waste,Municipal Waste Incinerator Bottom Ash,141189,52.512105,-1.7855645
Construction and Demolition,Mixed Hardcore,141002,51.220026,-0.071772909
Construction and Demolition,Soils,139670,53.394521,-2.7995292
Construction and Demolition,Soils,139545,51.108388,-0.47645812
Construction and Demolition,Mixed Hardcore,139362,51.325986,-0.86977741
Construction and Demolition,Soils,138770,53.585652,-0.36411336
Construction and Demolition,Soils,136599,52.602387,-0.155033
Construction and Demolition,Soils,136413,51.100099,-0.32853341
Construction and Demolition,Mixed Hardcore,136290,51.399682,0.50457106
Construction and Demolition,Mixed Hardcore,136080,51.46095,-0.48632607
Construction and Demolition,Mixed Hardcore,135801,51.444071,-2.5703154
Construction and Demolition,Soils,135651,52.044887,-0.87139128
Construction and Demolition,Mixed Hardcore,135286,50.380558,-3.9711348
Construction and Demolition,Mixed Hardcore,134891,53.239213,-3.0319677
Construction and Demolition,Soils,134748,52.373397,-1.4153606
Construction and Demolition,Soils,134385,51.46443,-2.4593097
Construction and Demolition,Soils,134059,51.506349,-2.4660277
Construction and Demolition,Soils,133206,55.815974,-3.0307182
Construction and Demolition,Soils,132700,53.082315,-1.2805653
Construction and Demolition,Soils,132402,51.328551,-0.87469485
Construction and Demolition,Mixed Hardcore,131540,53.393827,-1.4226656
Construction and Demolition,Soils,131427,53.700182,-1.1296314
Construction and Demolition,Soils,130160,53.372656,-1.9668945
Construction and Demolition,Mixed Hardcore,130147,52.413514,-0.73754718
Construction and Demolition,Soils,129792,50.776421,-2.0507364
Construction and Demolition,Soils,129428,51.940112,-2.0981438
Construction and Demolition,Soils,129147,51.866158,0.82791294
Construction and Demolition,Mixed Hardcore,128663,51.853515,-1.30784
Construction and Demolition,Soils,128536,50.856036,0.51766913
Construction and Demolition,Soils,128506,51.765207,-1.4575167
